release_date,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2016-02-04,False,60,0.515,0.745,7,-5.359,0,0.0394,0.0156,0.00787,0.485,0.0687,150.134,180800,4,edm
2016-05-06,True,74,0.582,0.677,7,-7.081,1,0.172,0.0312,6.6e-06,0.122,0.205,193.818,240653,4,hip hop
2015-05-08,False,4,0.574,0.195,7,-15.923,0,0.0386,0.922,0.908,0.11,0.153,93.094,364040,4,jazz
2020-08-21,False,65,0.544,0.921,2,-4.03,1,0.0512,0.000504,0.0,0.391,0.603,95.018,198000,4,punk
1983-04-13,False,15,0.726,0.537,0,-8.896,1,0.113,0.316,0.0,0.0707,0.887,96.91,145707,4,punk
2008-05-16,False,55,0.726,0.793,3,-3.052,0,0.0672,0.154,1.61e-06,0.143,0.755,130.003,201453,4,disco
2007-01-01,False,75,0.81,0.538,0,-5.784,0,0.0356,0.528,0.0,0.0951,0.828,109.97,266840,4,pop
2004-01-01,False,2,0.622,0.492,10,-10.471,1,0.0472,0.657,0.172,0.0595,0.757,133.452,374133,4,jazz
2011,False,70,0.421,0.476,0,-7.692,1,0.0298,0.268,0.0,0.0816,0.3,169.784,228840,4,country
2018-03-30,True,0,0.788,0.549,5,-7.492,1,0.0445,0.0524,5.24e-06,0.101,0.367,134.964,197885,4,rap
2011-02-21,False,11,0.676,0.802,11,-6.676,0,0.0449,0.000906,0.732,0.276,0.66,128.006,382461,4,electro
1982-11-30,False,82,0.779,0.867,3,-3.704,0,0.0457,0.0491,7.98e-06,0.197,0.915,138.858,258040,4,pop
2020-05-01,False,24,0.323,0.467,7,-17.17,0,0.0806,0.964,0.933,0.117,0.382,154.4,195317,3,pop
2001-05-14,True,51,0.969,0.701,1,-7.503,1,0.156,0.14,0.00161,0.201,0.905,121.392,289373,4,pop
1972-07-21,False,40,0.521,0.938,2,-3.705,1,0.121,0.0224,0.0,0.0889,0.441,123.008,225773,4,rock
2011,True,0,0.864,0.666,3,-9.449,0,0.344,0.0127,0.0,0.328,0.811,142.81,163008,4,hip hop
1995-06-22,False,34,0.654,0.934,9,-10.835,0,0.05,0.00445,0.61,0.0691,0.11,140.878,425448,4,techno
2018-03-30,True,8,0.53,0.83,6,-4.444,1,0.4,0.247,2.39e-06,0.304,0.654,90.788,235516,4,hip hop
2009-09-29,False,29,0.508,0.928,0,-2.525,1,0.0326,0.184,0.0,0.108,0.823,176.584,166240,4,rock
1968-11-22,False,0,0.608,0.178,2,-17.109,1,0.0264,0.634,0.352,0.166,0.401,84.78,168027,4,rock
2019-11-07,True,84,0.787,0.673,11,-4.583,0,0.159,0.264,3.35e-06,0.0904,0.779,110.962,237893,4,pop
2014-12-15,True,53,0.715,0.67,11,-5.779,1,0.194,0.251,0.0,0.109,0.124,86.01,269947,4,pop
1972,False,63,0.49,0.581,5,-6.566,1,0.0388,0.553,0.0177,0.0764,0.318,88.718,205480,4,rock
2018-12-05,False,0,0.678,0.561,5,-8.814,0,0.32,0.0327,0.114,0.273,0.566,87.729,156418,4,rap
1973,False,65,0.632,0.397,7,-12.855,1,0.0265,0.536,0.0421,0.106,0.731,110.578,173057,4,rock
1973-03-28,False,0,0.267,0.78,7,-8.777,1,0.055,0.053,0.192,0.271,0.674,144.292,330107,4,rock
2011-07-11,False,54,0.541,0.931,10,-9.687,0,0.0552,0.326,0.129,0.325,0.148,128.584,189701,4,disco
2006-02-03,False,18,0.808,0.939,10,-3.335,0,0.304,0.509,0.0,0.808,0.67,101.852,256547,4,hip hop
2002-02-25,False,0,0.265,0.889,11,-6.651,0,0.121,0.000241,4.83e-06,0.356,0.591,159.068,145533,4,rock
1983-01-01,False,39,0.822,0.702,1,-13.507,1,0.0898,0.015,0.555,0.115,0.792,115.777,336173,4,electro
1982-04-01,False,49,0.527,0.468,5,-10.487,0,0.0339,0.415,9.99e-06,0.154,0.648,144.967,214285,4,chanson
2017-10-31,True,59,0.67,0.531,11,-7.294,0,0.0629,0.0366,0.0,0.132,0.186,100.006,281876,3,pop
1998-01-01,False,41,0.599,0.835,2,-6.027,1,0.147,0.622,0.0,0.28,0.603,188.042,245640,4,rap
2015-05-18,False,57,0.645,0.84,4,-5.894,1,0.0518,0.0452,0.0,0.327,0.805,151.94,200027,4,country
2020-05-25,False,50,0.7,0.917,2,-7.002,1,0.0539,0.0196,0.844,0.0922,0.0523,132.019,397273,4,techno
2015-12-23,False,8,0.443,0.827,8,-6.893,1,0.0355,0.000431,0.0254,0.0877,0.321,174.068,189655,4,electro
2015-07-03,False,38,0.728,0.609,4,-7.998,0,0.0682,0.417,0.0,0.699,0.807,100.048,215824,4,hip hop
2012-10-16,False,12,0.751,0.442,0,-7.551,1,0.0313,0.0803,0.00141,0.123,0.851,98.071,161043,3,edm
2012-12-03,False,54,0.439,0.591,10,-8.763,0,0.0499,0.297,0.33,0.616,0.094,63.414,246553,3,pop
2016-11-18,False,56,0.667,0.663,9,-10.577,1,0.0346,0.456,0.00316,0.703,0.507,118.947,181000,4,pop
1987-10-19,False,47,0.602,0.882,7,-6.656,0,0.055,0.0531,0.0107,0.0951,0.847,113.352,209587,4,chanson
1997-01-01,False,0,0.553,0.599,0,-8.146,1,0.0297,0.285,0.0,0.191,0.447,123.26,210640,4,rock
2005-10-18,False,0,0.584,0.526,9,-10.08,0,0.0391,0.475,6.52e-05,0.0756,0.641,82.028,204187,4,folk
1995-01-16,False,42,0.532,0.401,4,-11.053,0,0.0242,0.634,0.00108,0.111,0.279,78.963,288280,4,rock
2019-08-09,True,70,0.932,0.547,0,-7.787,0,0.333,0.0388,0.0,0.0924,0.695,94.998,176640,4,rap
1997-05-28,False,1,0.293,0.276,7,-11.353,1,0.0351,0.229,0.119,0.167,0.196,121.603,267187,4,rock
1977-08-21,False,63,0.679,0.374,11,-10.565,0,0.0482,0.402,2.49e-05,0.0541,0.871,80.86,306800,4,soul
2019-01-18,True,74,0.661,0.44,2,-9.104,1,0.0803,0.457,0.0,0.128,0.352,149.937,230400,4,rap
2016-01-29,False,79,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667,4,dance
2007-05-08,False,0,0.402,0.942,7,-3.131,1,0.14,0.0287,0.000228,0.56,0.813,124.418,136667,4,punk
2012-07-20,False,0,0.65,0.754,10,-10.25,1,0.0894,0.775,2.3e-06,0.114,0.933,74.328,169787,4,country
2018-06-22,True,19,0.763,0.362,6,-10.113,1,0.572,0.803,4.67e-06,0.16,0.587,119.855,160655,5,r&b
2021-10-29,False,67,0.652,0.593,11,-8.481,1,0.0421,0.0942,0.0,0.116,0.158,101.982,196312,4,pop
2008-10-18,False,0,0.72,0.425,5,-17.998,0,0.154,0.108,0.00275,0.149,0.926,141.464,261293,4,rock
2019-11-04,False,1,0.602,0.987,10,-8.37,0,0.0391,1.25e-05,0.761,0.635,0.0463,135.992,464667,4,techno
1997-05-05,False,4,0.567,0.945,9,-6.203,1,0.0702,0.571,0.0,0.153,0.568,94.335,80200,4,punk
2004-11-15,False,22,0.343,0.316,4,-18.208,1,0.042,0.791,0.838,0.0835,0.169,101.798,46280,4,rock
1979,False,62,0.81,0.511,0,-6.454,1,0.0409,0.0778,0.000226,0.0714,0.858,113.153,265678,4,rock
1974-11-08,False,74,0.535,0.651,10,-6.326,1,0.0544,0.391,0.0,0.133,0.612,117.218,179600,4,rock
1984-01-01,False,37,0.719,0.45,1,-13.445,1,0.0259,0.212,0.0,0.0951,0.563,113.647,376307,4,soul
2000-11-03,False,0,0.641,0.719,7,-8.758,1,0.0249,0.202,0.0027,0.125,0.846,132.769,383333,4,rock
1988-01-01,False,1,0.704,0.543,5,-11.585,1,0.0435,0.715,0.00049,0.0409,0.965,100.594,267333,4,salsa
2018-02-16,True,4,0.756,0.786,4,-8.78,0,0.281,0.399,0.000111,0.0976,0.793,94.002,212547,4,hip hop
2015-12-04,True,51,0.738,0.483,9,-10.664,1,0.331,0.213,0.0,0.197,0.59,96.978,213560,4,hip hop
2021-04-30,False,31,0.761,0.75,8,-7.498,0,0.119,0.000582,0.845,0.0789,0.179,127.136,201905,4,edm
2017-12-08,True,0,0.904,0.706,11,-3.393,0,0.169,0.0328,1.12e-06,0.163,0.103,94.002,194025,4,hip hop
2020-03-13,True,58,0.65,0.589,11,-8.02,0,0.0649,0.375,3.57e-05,0.128,0.438,160.031,183484,4,pop
2018-06-22,False,21,0.731,0.905,7,-11.28,0,0.0692,0.00812,0.808,0.101,0.388,129.001,369253,4,techno
2018-06-29,False,59,0.254,0.0877,6,-9.996,1,0.0382,0.805,2.9e-05,0.137,0.0907,68.991,281440,4,pop
2018-02-15,False,48,0.709,0.464,7,-8.481,1,0.0287,0.534,0.575,0.0833,0.556,113.983,213633,4,pop
2016-07-01,False,11,0.356,0.907,4,-5.186,0,0.0976,0.00323,0.00179,0.104,0.416,100.289,120267,4,punk
2016-02-19,False,0,0.835,0.625,4,-5.142,0,0.0422,0.748,0.0233,0.138,0.843,129.038,189361,4,jazz
2015-08-14,True,19,0.643,0.75,7,-6.24,1,0.243,0.00605,0.0,0.335,0.405,148.029,293494,4,hip hop
1985-01-01,True,12,0.263,0.94,11,-5.734,0,0.0754,8.72e-06,0.374,0.556,0.221,99.525,68213,4,punk
2008,False,0,0.474,0.811,11,-1.582,1,0.418,0.00796,1.02e-05,0.118,0.427,128.653,320933,4,edm
2016-11-11,True,49,0.739,0.79,2,-5.307,1,0.103,0.0674,0.0,0.352,0.652,96.055,213373,4,hip hop
2003-01-01,False,45,0.408,0.354,4,-12.447,1,0.0377,0.373,0.0,0.263,0.415,104.877,168093,4,pop
2017-01-13,False,59,0.634,0.775,7,-4.09,1,0.0346,0.00856,0.0,0.28,0.539,123.977,183710,4,pop
2013-04-16,False,54,0.629,0.834,0,-3.559,1,0.0597,0.0564,0.0,0.102,0.669,84.0,206600,4,country
2020-07-10,True,68,0.88,0.787,8,-5.189,1,0.118,0.226,0.0,0.12,0.588,113.018,264834,4,hip hop
1994,False,40,0.287,0.914,3,-6.056,1,0.058,0.0457,0.469,0.376,0.173,95.02,279267,4,pop
1970,False,40,0.362,0.896,2,-6.812,1,0.0338,3e-06,0.79,0.355,0.713,136.083,213027,4,rock
2004-06-16,False,49,0.321,0.647,3,-6.514,1,0.0274,0.062,4.72e-05,0.288,0.287,104.345,282333,1,dance
2018-05-18,False,0,0.85,0.94,8,-3.428,1,0.036,0.113,0.435,0.0697,0.897,122.047,158907,4,rock
2016-10-07,False,53,0.666,0.74,7,-7.606,1,0.031,0.0185,0.0,0.0741,0.826,120.056,172307,4,folk
2018-03-13,False,0,0.571,0.954,2,-3.399,0,0.0464,0.000432,0.0014,0.058,0.53,123.051,233080,4,metal
2020-05-15,True,68,0.732,0.462,5,-10.191,0,0.406,0.126,0.0,0.12,0.117,180.067,170057,4,hip hop
2004,False,0,0.576,0.901,9,-7.55,1,0.514,0.379,0.0,0.949,0.665,95.838,236427,4,hip hop
2020-11-19,False,58,0.426,0.541,2,-4.465,0,0.0543,0.162,0.0,0.0806,0.203,164.247,314818,4,electro
1997-06-17,False,0,0.268,0.406,5,-10.232,1,0.0276,0.0495,0.0066,0.113,0.104,76.432,228533,4,rock
2015-11-20,False,60,0.589,0.611,0,-5.881,0,0.0459,0.0151,0.0,0.0757,0.121,76.006,203107,4,pop
2014-07-08,False,52,0.419,0.139,11,-12.401,1,0.0383,0.926,2.02e-05,0.112,0.235,142.192,227472,3,pop
2002,False,0,0.74,0.776,0,-5.242,1,0.0408,0.0618,0.697,0.355,0.27,130.003,388813,4,edm
2020-03-13,False,57,0.421,0.991,8,-3.678,1,0.124,3.81e-06,0.0466,0.13,0.446,159.998,234387,4,pop
2019-04-26,True,68,0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.129,0.428,188.115,196267,4,hip hop
1994-01-01,False,26,0.873,0.168,7,-14.465,1,0.0454,0.848,5.04e-05,0.153,0.776,114.65,178467,4,blues
2000-11-13,False,0,0.524,0.88,0,-3.865,1,0.0987,0.404,0.000191,0.154,0.758,148.058,140173,4,rock
2007-05-14,False,50,0.508,0.886,8,-6.074,1,0.0408,0.009,2.13e-06,0.136,0.79,160.11,218013,4,metal
1986,False,24,0.158,0.878,1,-7.313,0,0.0888,0.00117,2.46e-06,0.183,0.291,190.406,171387,4,punk
2012-12-03,False,0,0.334,0.79,10,-7.249,1,0.0422,8.84e-06,0.00199,0.0755,0.727,161.025,189920,4,pop
2000-11-01,True,22,0.563,0.377,7,-10.768,0,0.0282,0.666,0.0408,0.0962,0.239,102.017,190827,4,rock
2019-03-01,True,54,0.796,0.467,11,-6.293,1,0.34,0.202,3.32e-05,0.206,0.4,179.974,173760,3,hip hop
1958-01-01,False,0,0.599,0.818,10,-9.033,1,0.0382,0.69,0.0,0.115,0.97,93.07,150287,4,pop
2015-11-13,False,75,0.573,0.739,0,-5.74,1,0.129,0.0285,0.0,0.111,0.451,97.085,230227,4,r&b
2017-09-21,False,63,0.736,0.449,10,-7.956,0,0.0633,0.506,6.63e-05,0.117,0.487,147.971,202280,4,edm
1994-12-14,False,46,0.761,0.779,7,-7.792,1,0.223,0.0626,0.0,0.256,0.884,166.951,181347,4,rap
1998-01-01,True,0,0.559,0.678,4,-7.804,0,0.0392,9.33e-06,0.00034,0.811,0.344,134.959,226733,4,metal
2005-06-20,False,0,0.663,0.355,4,-11.579,0,0.0312,0.93,0.0137,0.27,0.738,116.437,176627,4,folk
2021-03-18,False,42,0.683,0.86,11,-6.59,1,0.371,0.0435,3.38e-05,0.104,0.872,94.886,155500,4,rap
2013-06-03,False,34,0.635,0.684,9,-8.916,0,0.334,0.434,0.000278,0.0784,0.423,82.003,147387,4,dance
2007-06-11,False,0,0.609,0.604,4,-5.518,0,0.118,0.118,0.0191,0.356,0.497,124.447,402093,4,pop
2015-02-19,True,2,0.402,0.421,9,-12.455,1,0.0661,0.748,0.0176,0.114,0.502,83.033,81721,4,punk
1956-11-01,False,62,0.519,0.638,8,-5.226,1,0.0942,0.683,0.0,0.0561,0.67,124.878,284893,4,blues
1984,True,10,0.306,0.912,4,-8.673,0,0.0768,6.52e-05,0.00891,0.288,0.489,77.998,221067,4,punk
2006-06-06,False,8,0.364,0.893,9,-8.797,0,0.0653,2.49e-05,0.000176,0.131,0.653,147.147,140373,4,punk
1966,False,34,0.432,0.383,8,-12.684,1,0.0322,0.829,8.61e-06,0.127,0.546,140.62,183440,4,classical
1999-01-01,False,66,0.586,0.659,0,-7.92,0,0.0304,0.011,0.0,0.106,0.147,111.989,285960,4,rock
2017-05-12,True,68,0.579,0.579,11,-6.787,0,0.394,0.387,0.0,0.17,0.842,104.757,181413,4,hip hop
1975-02-24,False,54,0.632,0.849,9,-8.282,1,0.0351,0.167,0.0389,0.571,0.939,123.092,244686,4,rock
2010-05-03,False,0,0.87,0.459,0,-6.357,1,0.0619,0.00125,0.0104,0.11,0.289,127.985,285667,4,pop
2003-01-01,False,36,0.821,0.717,9,-10.635,0,0.0465,0.00287,0.57,0.105,0.617,119.972,324787,4,electro
2019-08-09,False,44,0.767,0.605,6,-5.737,0,0.188,0.559,0.000363,0.193,0.657,107.042,203200,4,dance
1999-04-27,False,0,0.57,0.503,3,-9.381,1,0.0427,0.668,0.274,0.116,0.469,89.98,276893,4,folk
2013-10-14,False,0,0.443,0.737,0,-4.509,1,0.0293,0.00149,0.0032,0.121,0.746,115.277,312227,4,pop
2015-02-16,False,36,0.568,0.977,1,-2.121,1,0.0356,0.000893,0.699,0.0587,0.0856,128.016,184687,4,pop
2018-05-30,True,76,0.385,0.757,0,-5.96,1,0.167,0.709,0.0,0.235,0.469,82.673,194595,4,hip hop
2017-11-10,False,51,0.722,0.932,5,-4.761,1,0.0371,0.158,0.0,0.0914,0.802,131.473,266147,4,rock
2020-03-13,True,61,0.862,0.65,10,-6.978,0,0.355,0.0207,0.0,0.568,0.658,131.194,115350,4,rap
1971-03-19,False,64,0.68,0.53,11,-13.105,0,0.0889,0.417,0.011,0.0559,0.352,124.551,266013,4,rock
1978-06-02,False,46,0.515,0.854,9,-7.319,0,0.0382,0.0071,1.36e-06,0.345,0.828,94.338,272040,4,rock
2007-01-01,False,41,0.559,0.713,4,-4.264,0,0.033,0.0538,0.0,0.273,0.656,81.01,197040,4,country
2006-10-24,False,0,0.58,0.491,0,-6.462,1,0.0251,0.575,0.0,0.121,0.425,76.009,232107,4,pop
2015-11-20,False,22,0.579,0.79,11,-4.683,0,0.0468,0.00399,0.135,0.101,0.233,144.998,241702,4,rap
1979,False,0,0.546,0.578,2,-8.745,1,0.0406,0.0114,6.54e-05,0.0692,0.819,128.037,238907,4,rock
2000-01-01,False,38,0.443,0.69,7,-7.159,1,0.0328,0.113,9.75e-06,0.144,0.641,115.922,207440,4,chanson
2012-07-10,False,74,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,200747,4,r&b
2018-03-16,False,70,0.356,0.143,9,-15.148,1,0.0388,0.976,1.89e-05,0.111,0.334,75.522,99658,4,rap
2014-08-08,False,31,0.707,0.86,2,-5.664,1,0.0691,0.00833,0.89,0.17,0.27,106.985,254720,4,edm
1992,True,34,0.869,0.816,7,-6.224,1,0.235,0.0501,0.0242,0.0964,0.395,103.87,231889,4,hip hop
2016-12-30,True,21,0.57,0.924,8,-3.032,0,0.201,0.00299,0.103,0.0495,0.517,149.913,267200,4,pop
2008-01-01,False,0,0.473,0.614,5,-10.31,1,0.0604,0.136,1.58e-05,0.135,0.896,78.943,243600,4,pop
2019-03-08,False,3,0.612,0.57,11,-6.642,0,0.0347,0.279,0.0,0.0963,0.335,77.004,197293,4,country
2015-11-06,True,56,0.776,0.715,5,-6.587,0,0.0505,0.0971,0.0131,0.247,0.502,99.951,231813,4,edm
2006-08-28,False,0,0.457,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0992,76.193,238560,4,pop
2012,False,55,0.639,0.895,5,-3.082,1,0.0427,0.112,0.0,0.362,0.527,118.672,208533,4,pop
2016-11-30,False,60,0.641,0.824,6,-3.706,0,0.0272,0.0624,0.0621,0.258,0.257,115.003,166973,4,electro
1995-11-07,True,67,0.704,0.642,1,-10.11,1,0.39,0.00704,1.43e-06,0.161,0.72,92.09,209973,4,hip hop
2019-07-04,True,64,0.866,0.714,6,-6.107,1,0.22,0.00612,1.88e-05,0.0787,0.384,108.005,163143,4,hip hop
2021-07-02,True,67,0.424,0.937,7,-4.448,1,0.156,0.00017,0.0,0.31,0.427,170.058,158022,4,rap
1969-09-26,False,84,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,185733,4,rock
2006-05-09,False,11,0.713,0.801,1,-8.098,1,0.059,0.119,2.41e-05,0.136,0.855,100.08,203320,4,hip hop
1969,False,0,0.43,0.474,7,-12.908,1,0.0277,0.14,0.00808,0.344,0.565,78.966,235667,4,country
2016-03-18,False,12,0.497,0.921,7,-5.802,0,0.26,0.000555,0.688,0.897,0.0561,144.966,215172,4,edm
2017-07-21,True,55,0.587,0.542,5,-7.876,1,0.034,0.0014,0.0,0.0906,0.371,89.991,223147,4,rock
2021-02-12,True,57,0.672,0.63,4,-6.841,0,0.285,0.0791,0.0,0.167,0.354,75.286,171867,4,hip hop
2020-10-23,False,68,0.712,0.891,6,-2.76,0,0.0401,0.00415,0.0,0.258,0.735,126.012,165704,4,pop
2014-07-04,False,1,0.603,0.895,3,-6.93,1,0.0313,0.000532,0.0219,0.302,0.817,129.88,207093,4,disco
2015-08-14,True,67,0.654,0.85,0,-5.719,1,0.0804,0.292,4.6e-05,0.0638,0.52,154.962,253067,4,electro
2004-10-18,False,0,0.491,0.519,7,-7.692,1,0.0275,0.0493,0.00111,0.0879,0.192,75.809,285320,4,rock
2016-03-28,False,43,0.579,0.815,11,-7.715,0,0.0406,0.000643,1.42e-05,0.147,0.722,140.008,249800,4,rock
2021-07-30,True,48,0.544,0.81,11,-7.284,1,0.151,0.0663,4.85e-06,0.129,0.601,90.943,211041,4,electro
1997-10-07,False,6,0.176,0.846,1,-7.898,1,0.076,0.00109,4.17e-05,0.112,0.658,201.748,167867,4,punk
1999,False,67,0.829,0.915,8,-3.205,1,0.106,0.226,1.25e-05,0.246,0.779,118.903,203333,4,pop
2008,False,59,0.372,0.442,4,-11.488,1,0.0289,0.714,8.68e-05,0.966,0.297,92.72,345627,4,pop
2011-12-14,False,0,0.349,0.0844,8,-24.003,1,0.0281,0.989,0.871,0.16,0.139,94.012,302520,1,classical
1969-08-05,False,62,0.527,0.871,4,-8.708,1,0.0354,0.0229,0.155,0.419,0.107,120.722,188560,4,rock
2015-11-15,False,7,0.592,0.223,0,-10.804,0,0.0455,0.969,0.827,0.0916,0.314,76.072,332080,4,jazz
2000-05-16,False,68,0.481,0.94,7,-5.204,1,0.066,0.000891,0.0,0.0939,0.66,96.493,189333,4,pop
2021-10-22,False,50,0.715,0.674,0,-10.029,1,0.0377,0.0796,0.829,0.0916,0.41,122.028,350039,3,techno
1974,False,52,0.822,0.618,6,-8.14,0,0.0287,0.364,0.147,0.101,0.816,102.602,257093,4,soul
2017-08-25,True,87,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,95467,4,rap
2013-01-01,False,0,0.696,0.767,5,-4.36,0,0.0382,0.71,0.000432,0.298,0.962,84.203,311120,4,salsa
2015-10-16,False,57,0.504,0.889,2,-4.533,1,0.0737,0.0489,0.0,0.19,0.367,165.047,205851,4,rock
