artist_name,track_name,release_date,genres,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
The Stone Roses,She Bangs the Drums - Remastered,1989-05-02,"['alternative rock', 'britpop', 'dance rock', 'madchester', 'modern rock', 'rock']",False,62,0.339,0.976,9,-4.782,1,0.0909,0.00649,0.00672,0.123,0.672,144.723,3clIHVzJ9J2rvvrFUKLICo,232333,4
Chuckie,Aftershock (Can't Fight the Feeling),2009-06-29,"['dutch house', 'edm', 'electro house', 'melbourne bounce', 'pop dance', 'progressive electro house']",False,16,0.87,0.657,10,-5.13,0,0.128,0.000127,0.0236,0.0612,0.71,127.991,2EKSkGJ5fZFAKJqkNMpIQX,387520,4
Barnes Blvd.,I Have Love for Everyone Besides Myself.,2018-05-08,['lo-fi beats'],False,52,0.352,0.238,0,-18.408,1,0.1,0.97,0.586,0.0664,0.0376,72.649,6okflAl3X7elXPx7MgJMi6,161239,3
Eskei83,Rave,2017-01-20,[],False,47,0.712,0.917,5,-4.42,1,0.127,0.0547,0.0561,0.172,0.355,139.981,3WrOGPmjif1RRBhNRqNzC3,201147,4
Ólafur Arnalds,The Bottom Line,2020-11-06,"['bow pop', 'compositional ambient', 'icelandic classical', 'neo-classical', 'neoclassical darkwave']",False,0,0.187,0.146,1,-18.076,1,0.0361,0.973,0.641,0.0753,0.0663,131.736,4zO1yIlRNBzF0TF2Zx4fKZ,242290,4
Bishop Nehru,In My Zone,2019-09-06,"['alternative hip hop', 'underground hip hop']",True,42,0.916,0.627,1,-7.678,1,0.107,0.308,0.0,0.115,0.387,121.968,6h34uraDjPgIpI3pJODJNs,238106,4
Still Young,White Label (Is This Love),2017-03-24,"['pop edm', 'sky room']",False,0,0.696,0.795,8,-4.892,0,0.188,0.306,7.72e-06,0.243,0.165,126.186,75gCkW0SR8MtFh5lxCUXR7,192000,4
Laidback Luke,Memories - Radio Edit,2014-12-09,"['big room', 'dance pop', 'dutch edm', 'dutch house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",False,37,0.418,0.851,4,-3.401,1,0.0678,0.237,1.68e-05,0.67,0.33,126.049,7b5cTNDPRxrnbjQYI7RXX7,198110,4
mike.,Mirrors on the Ceiling,2018-11-12,"['indie pop rap', 'pop rap', 'rap', 'rhode island rap']",True,64,0.735,0.334,5,-11.59,0,0.191,0.447,1.37e-06,0.0956,0.594,148.09,4s5kD9Pdiy8iVmJ7TKRRy2,214805,4
Johnny Hallyday,Viens danser le twist,1997-01-01,"['chanson', 'francoton', 'french pop', 'ye ye']",False,32,0.476,0.853,9,-5.753,0,0.291,0.617,0.0,0.715,0.833,168.094,5QLZEGOnjRYhqjAii9JAaP,124093,4
Lil Yachty,COUNT ME IN,2018-03-09,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap', 'viral rap']",True,57,0.788,0.639,1,-7.834,1,0.319,0.433,0.0,0.142,0.746,81.482,2xEvCnhZMxvvRwaF4le8UV,137356,4
Lone Catalysts,Smiles (feat. Blak Smif & Strawberry Kap),2017-11-17,['jazz rap'],False,5,0.605,0.699,2,-5.649,1,0.312,0.408,0.0,0.635,0.475,93.751,7054b2zMrF1tzEkaGCWGM0,322936,4
Bobby Valentin,La Realidad,2009,"['boogaloo', 'jazz puertorriqueno', 'latin jazz', 'salsa', 'salsa international', 'salsa puertorriquena', 'tropical']",False,0,0.732,0.551,5,-6.414,0,0.0406,0.497,0.0,0.184,0.963,90.641,6uua3xZo30rLLi4F2Huqec,212120,4
Danon,Candyflippin in Chitown,2016-01-26,['deep underground hip hop'],True,23,0.688,0.681,4,-5.48,0,0.331,0.0623,0.0,0.818,0.415,127.996,4VbuSfXCoGoyBjEVU1MMLW,195997,4
La Banda Trapera Del Rio,Venid a las Cloacas,2013-02-01,['spanish punk'],False,7,0.25,0.826,7,-13.215,1,0.161,0.00855,0.000891,0.0568,0.286,102.884,6J3ERA6CtaKg8LwNj4pwWa,226998,4
"Lee ""Scratch"" Perry",Dreadlocks In Moonlight,2008-06-20,"['dub', 'reggae', 'roots reggae', 'ska']",False,0,0.939,0.502,7,-9.691,1,0.0535,0.0116,0.0,0.104,0.964,130.954,6JndHFumlvGLAK1B3ZxUim,227240,4
Solange,Almeda,2019-03-01,"['afrofuturism', 'alternative r&b', 'dance pop', 'escape room', 'hip pop', 'indie soul', 'neo soul', 'pop', 'r&b', 'urban contemporary']",True,67,0.827,0.553,1,-5.296,1,0.032,0.0227,1.52e-05,0.176,0.0631,110.015,6IAgarq2wDeYzpsY2Kx0Hw,236120,4
Rubin Steiner,Your Life Is Like a Tony Conrad Concert,2005,[],False,11,0.753,0.749,9,-6.117,0,0.0792,0.00231,0.000164,0.285,0.579,126.031,1SD8d36RRbDpWrydMnxNLA,246491,4
Joe South,Walk A Mile In My Shoes - 2002 Remaster / 24-Bit Mastering,2002-01-01,"['bubblegum pop', 'classic uk pop', 'merseybeat']",False,32,0.631,0.536,9,-12.135,1,0.0279,0.403,0.836,0.132,0.8,111.596,49dCQGqLHLqlgTcnxqN5h6,248093,4
Cher,"Gypsys, Tramps & Thieves",1971-01-01,"['dance pop', 'hollywood', 'new wave pop']",False,0,0.476,0.677,0,-11.175,1,0.0365,0.211,0.0,0.0601,0.691,170.879,4WB7xpuqMYekEq8ll8L1to,158000,4
John Prine,Sam Stone,1971,"['alternative country', 'country rock', 'folk', 'folk rock', 'mellow gold', 'new americana', 'roots rock', 'singer-songwriter']",False,47,0.556,0.15,5,-17.489,1,0.0333,0.887,2.5e-06,0.105,0.118,134.414,4BIej0swGWja46j5B7l4s1,256907,4
Eurythmics,There Must Be an Angel (Playing With My Heart),1991-02-28,"['art rock', 'dance rock', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'sophisti-pop', 'synthpop']",False,61,0.539,0.672,0,-11.36,1,0.0472,0.342,1.05e-05,0.123,0.611,112.399,1YJ4vpxPL6Wgo8gmRnvqSp,280360,4
Khaled,Aicha - Version Mixte,1997-05-13,"['classic arab pop', 'moroccan pop', 'rai']",False,39,0.596,0.663,7,-7.982,0,0.145,0.212,6.64e-06,0.0908,0.506,170.184,59TEwguuXqdtjUrdG5trEa,259667,4
King Louie,Live And Die In Chicago,2015-01-13,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'trap']",True,36,0.773,0.503,0,-8.461,1,0.381,0.288,0.0,0.119,0.338,115.115,4upTWC3MUnRnBlNdjRygQr,233760,4
Rooney,When Did Your Heart Go Missing?,2007-01-01,['modern power pop'],False,36,0.594,0.921,7,-3.998,1,0.0421,0.00162,0.0,0.0518,0.971,175.758,7yaN5MeEyyHy3Ic6gkSbps,210173,4
Leavv,thank you,2017-03-02,"['chillhop', 'lo-fi beats']",False,30,0.614,0.408,2,-12.315,0,0.2,0.586,0.759,0.107,0.207,90.017,5ZtyLBt6hvikacT1NatNWq,170667,4
Herman's Hermits,( What A) Wonderful World,1966-01-01,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic rock', 'classic uk pop', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll', 'rockabilly']",False,28,0.759,0.75,0,-7.596,1,0.0417,0.589,0.0,0.0706,0.967,141.582,4E2jtYi0OhTYaSJ0iCD4Sw,119573,4
Talking Heads,This Must Be the Place (Naive Melody) - 2005 Remaster,1983-05-31,"['art punk', 'art rock', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']",False,72,0.942,0.641,7,-10.15,1,0.0333,0.331,0.179,0.028,0.966,114.443,6aBUnkXuCEQQHAlTokv9or,296147,4
Young Thug,Old English,2014-07-01,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']",False,0,0.809,0.801,1,-5.461,1,0.407,0.0408,0.0,0.353,0.744,81.94,2MO3mSPBH8U9qalH72vqZ1,201960,4
Massacre Guys,Cold Storage,2002-01-01,[],False,1,0.333,0.541,2,-7.018,1,0.0378,0.178,1.86e-06,0.414,0.505,170.994,68oBYNvUIXYXnXt48hOvoK,119893,4
Sherman & Larsen,Fifty Million Commies Can''t Be Wrong,1960,[],False,2,0.615,0.146,11,-13.228,1,0.0454,0.937,0.0,0.17,0.742,116.69,1vxQ3up9X9nnD2ih63hm6o,188027,3
Ziggy Marley & The Melody Makers,One Good Spliff,1999,"['reggae', 'roots reggae']",False,0,0.617,0.464,2,-11.918,1,0.142,0.497,7.08e-06,0.0759,0.613,107.982,0URS9f6Ck8mzhou6AMNCr5,233918,4
Vintage Culture,Céu Azul - Vintage Culture & Santti Remix,2017-04-07,['brazilian edm'],False,59,0.717,0.728,11,-4.078,1,0.0298,0.104,0.00177,0.0901,0.292,121.009,0davAVsF63UvUwOtbSOhSE,261818,4
Wincent Weiss,Nur ein Herzschlag entfernt,2017-10-27,['german pop'],False,49,0.669,0.602,1,-7.067,0,0.05,0.0752,0.0,0.113,0.589,126.922,3lzSpq0cp3mmld7Dpeys8G,201960,4
The Geminizers,Out of Control - Vazard & Delete Remix,2014-05-23,[],False,4,0.52,0.965,1,-2.827,1,0.152,0.0267,0.0139,0.0918,0.0566,150.052,4hNVbVxObdTLh6hYc4ldaw,296036,4
Dayglow,Hot Rod,2019-11-14,"['austindie', 'indie pop', 'modern rock']",False,78,0.707,0.767,7,-7.072,1,0.0323,0.0279,0.000295,0.169,0.832,139.985,0zePbRMJ9sd7wsZRlbPQua,204014,4
Babyshambles,Delivery,2007-08-27,['modern rock'],True,51,0.501,0.909,5,-4.196,1,0.0377,0.00252,3.78e-05,0.283,0.753,140.905,5T9ir6tlqhhbKVzIC0ssbs,161400,4
Earl Sweatshirt,Riot!,2018-11-30,"['alternative hip hop', 'experimental hip hop', 'hip hop', 'rap', 'underground hip hop']",True,71,0.489,0.624,4,-1.916,0,0.0344,0.834,0.347,0.325,0.574,167.108,6cmt9CRoK0KGcNg9Tpje53,66133,4
Derrick Morgan,Sensemilla,2011-07-18,"['early reggae', 'jamaican ska', 'reggae', 'rocksteady', 'ska', 'ska revival', 'traditional ska']",False,1,0.849,0.255,11,-15.325,1,0.342,0.0191,0.523,0.152,0.69,75.98,1x6KnRbMCkjsbMbs6QLVoM,189086,4
Chris Brown,Beautiful People (feat. Benny Benassi),2018-04-27,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",False,0,0.415,0.775,5,-6.366,0,0.161,0.0658,0.00431,0.0843,0.536,127.86,3einDkxR7II2GtLgUviOUt,225881,4
Trynamite,Scheiss Männer,2010-01-01,[],False,35,0.706,0.8,1,-2.922,1,0.0347,0.0619,0.000766,0.404,0.561,132.003,7pDK7FYIwbTLwIcInbzM6G,197787,4
Inspiral Carpets,This Is How It Feels,1990-04-23,"['britpop', 'madchester']",False,0,0.495,0.673,11,-12.838,1,0.0468,0.0164,5.27e-05,0.244,0.287,119.293,2FrXDvvlNrF6GdmTI4cBr5,185067,4
Shlømo,Welcome Back Devil,2019-11-08,"['french techno', 'minimal dub']",False,44,0.595,0.96,10,-7.336,1,0.0675,0.00133,0.926,0.13,0.0999,144.023,51xCJIB6whswDNw6tdbF97,320917,3
The Beatles,And Your Bird Can Sing - Remastered,1966-08-05,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",False,0,0.555,0.65,4,-6.936,1,0.0282,0.0067,0.0491,0.236,0.966,132.59,6RdvhWyzCULNTHcMbAXwXK,120493,4
Kixxie Siete,Clear Weather,2013-12-19,[],True,32,0.607,0.652,0,-7.863,1,0.334,0.354,0.0,0.381,0.504,90.243,4rBlvi0PUunKYVFanObZ7N,203987,4
Lake Jons,Up Here North,2018-01-19,['finnish indie'],False,0,0.485,0.173,2,-14.249,0,0.0573,0.965,0.00201,0.101,0.339,127.839,2KEH9IpyVU3aYT85QCekD5,184661,4
SEREBRO,Mi Mi Mi (Radio Edit),2013-09-09,['russian pop'],False,10,0.92,0.811,1,-2.055,1,0.0527,0.0156,0.503,0.129,0.936,126.006,2LHGrCeUJKkXQqfrOvwARL,192857,4
Marvin Gaye,Ain't Nothing Like The Real Thing,2008-01-01,"['classic soul', 'funk', 'indie r&b', 'motown', 'northern soul', 'quiet storm', 'soul']",False,0,0.628,0.653,8,-7.628,1,0.0395,0.0817,0.000277,0.155,0.728,93.549,0DI4fEBht06DGcoMP2YWBi,133787,4
DDG,Moonwalking in Calabasas - Carnage Remix,2021-01-29,"['pop rap', 'rap', 'trap']",True,43,0.944,0.516,4,-8.017,1,0.189,0.176,1.41e-06,0.109,0.249,127.98,4tFzWf7xa298wcAV5QNUv3,164531,4
Morcheeba,Even Though - Surfing Leons Afternoon Remix,2010-07-25,"['big beat', 'downtempo', 'electronica', 'nu jazz', 'trip hop']",False,6,0.783,0.721,7,-9.903,1,0.0495,0.21,0.111,0.0985,0.164,124.995,0s9DW3QvUqcmHt5NkVsKZC,333507,4
Kelela,KAYTRANADA_WAITIN_115 BPM,2018-10-05,"['afrofuturism', 'alternative r&b', 'art pop', 'electropop', 'escape room', 'experimental r&b', 'indie soul', 'r&b']",False,43,0.622,0.674,6,-7.097,0,0.0719,0.131,0.0,0.402,0.438,114.958,1WivaDTus6pTZQQLBQYDm3,304700,4
Lesh,Sundancer - Original mix,2018-07-12,[],False,4,0.619,0.863,1,-8.637,0,0.0396,0.00376,0.909,0.0996,0.719,127.987,1EJ3cgxzyPkP5vNFf2m77H,502500,4
The-Dream,Rockin' That Shit,2009-01-01,"['dance pop', 'hip hop', 'hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",True,64,0.672,0.62,8,-4.865,1,0.0422,0.123,0.0,0.362,0.627,78.005,3RBGG1be9aBaSvjnw6ABkh,221920,4
JPEGMAFIA,TRUST!,2021-10-22,"['alternative hip hop', 'escape room', 'experimental hip hop', 'hip hop', 'industrial hip hop', 'rap', 'underground hip hop']",True,59,0.769,0.754,6,-4.5,1,0.085,0.172,0.000571,0.388,0.728,93.581,1iRC0WHs9uhAi0EYeJJB3L,134603,4
The Bloody Beetroots,WARP 1977 (feat. Steve Aoki & Bobermann),2009,"['alternative dance', 'dance-punk', 'electro house', 'fidget house', 'filter house', 'new rave']",False,0,0.517,0.942,8,-6.309,1,0.0461,0.000416,0.342,0.123,0.0395,129.867,4MY7xKebjnamSV8ui9XBIU,183988,4
G-Eazy,But A Dream,2017-12-15,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']",True,55,0.583,0.685,8,-6.978,1,0.425,0.162,0.0,0.0858,0.44,155.947,6sDCgB1Ulh7aw92mk0opyd,206427,4
Philip Bailey,Easy Lover,1985-03-20,['yacht rock'],False,70,0.749,0.699,1,-13.108,1,0.0371,0.0674,0.00192,0.0763,0.935,128.904,7INi4pMPG4IE0Smx5y4KVf,304507,4
Arctic Monkeys,Dangerous Animals,2009-08-20,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",False,54,0.34,0.922,3,-5.189,1,0.18,0.0129,2.39e-06,0.226,0.532,125.363,0pdp3VrR4WQaswf0GyT0Y0,210667,4
Michel Jonasz,Dites-moi,1974-10-01,"['chanson', 'french pop']",False,50,0.535,0.382,2,-11.967,0,0.032,0.817,0.0,0.164,0.568,120.203,3l1ImDmnV8ZSiWBFTs2d60,198160,4
Valentin Silvestrov,Two Dialogues with Postscript: III. Morning Serenade - Edit,2020-10-09,"['avant-garde', 'contemporary classical', 'ukrainian classical', 'ukrainian classical piano']",False,48,0.0659,0.0102,4,-34.463,0,0.0461,0.866,0.941,0.0899,0.0376,69.004,4cfwFc5ptXuzQMT9fSdnOl,162133,4
Czerkinsky,Natacha,2006-12-13,[],False,19,0.818,0.571,4,-9.554,0,0.207,0.41,0.0172,0.105,0.731,118.968,2kjCEIp1JDtp0F4QMLw1io,222122,4
Betty Everett,It's In His Kiss - The Shoop Shoop Song,2005-09-15,"['brill building pop', 'chicago soul', 'classic soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']",False,0,0.552,0.471,9,-11.979,1,0.0606,0.499,6.43e-06,0.34,0.954,123.8,2BrdsYaVeMvxqzP0yHl535,133413,4
Agression,I'm Alive,2003-04-08,"['california hardcore', 'hardcore punk']",False,3,0.356,0.99,0,-3.643,1,0.191,4.88e-05,0.51,0.337,0.0396,105.67,0t6qhapASytnKDf9pOrFM7,165293,4
EPMD,You're A Customer,1988-06-07,"['alternative hip hop', 'east coast hip hop', 'electro', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap', 'turntablism']",False,18,0.843,0.577,11,-6.504,1,0.326,0.0241,6.35e-06,0.0586,0.905,93.847,4hpVHtCUp5JWwnImaN6Dee,325160,4
Snorre Kirk,Festival Grease,2019-11-22,"['danish jazz', 'danish modern jazz']",False,24,0.68,0.184,1,-14.76,1,0.0425,0.772,5.74e-05,0.108,0.316,76.363,03mc8Pi679YgaoxQx1yHBD,318827,4
Talk Talk,Life's What You Make It - 1997 Remaster,1986,"['art rock', 'melancholia', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop', 'synthpop']",False,61,0.525,0.804,1,-7.575,1,0.0321,0.00367,0.285,0.0382,0.935,91.951,2iWTHXaFtRSMhd5OLpYD7f,268893,4
Dr. Dre,I Need A Doctor,2011-02-01,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",True,0,0.587,0.931,3,-4.426,1,0.467,0.103,1.16e-06,0.346,0.445,155.964,1aUT4xl8iiYNr6emik4qTB,283733,4
The Golden Gate Quartet,Rock My Soul,2002,"['spirituals', 'vocal harmony group']",False,0,0.763,0.129,5,-20.902,1,0.31,0.984,0.00153,0.119,0.802,145.249,2yV5XLi6OWxKydihzeHljG,122640,4
Sérgio Mendes,Magalenha,1992-06-17,"['bossa nova', 'brazilian jazz', 'samba']",False,11,0.82,0.633,9,-13.816,1,0.0745,0.129,0.0,0.0972,0.716,116.622,60ji00aSJqv0njEk9RI2LD,216933,4
Healy,Phantoms,2016-02-27,"['alternative r&b', 'chill r&b', 'memphis hip hop', 'underground hip hop']",False,36,0.61,0.548,4,-6.843,0,0.442,0.226,6.4e-06,0.228,0.39,176.595,4au0dxNCyXq5X3xHSmgSdh,231576,4
Elton John,Candle In The Wind - Remastered 2014,1973-10-05,"['glam rock', 'mellow gold', 'piano rock']",False,0,0.602,0.536,4,-9.74,1,0.0288,0.183,1.9e-05,0.0802,0.506,124.558,5khtjkzX0pzH1cjDgM6K6H,228933,4
Magnus Ringblom,Standing Tall,2017-07-04,[],False,43,0.578,0.147,1,-20.823,1,0.0357,0.863,0.917,0.109,0.631,133.806,6zyXnFhbzWquheImVhTyMX,231378,4
James Egbert,Back To New - Original Mix,2012-02-28,"['complextro', 'electro house']",False,6,0.664,0.677,2,-6.28,1,0.0711,0.000132,0.0811,0.0481,0.46,128.007,18bwrdwPlbLhiPYTG6fCaW,362344,4
Team Knoc,On My Mamma,2007-04-11,['hyphy'],True,18,0.803,0.662,2,-11.257,1,0.125,0.0782,0.0,0.426,0.781,107.01,2rwNbgOaJRGTCx4dCq45m4,171729,4
Lana Del Rey,High By The Beach,2015-09-18,"['art pop', 'pop']",True,69,0.536,0.486,11,-11.067,0,0.0346,0.244,0.00788,0.12,0.0968,131.988,7g3htkaLz4ETFn0cifwM3y,257573,4
DUNDER,Good Times Only (feat. Louise CS),2021-06-25,[],False,33,0.692,0.709,0,-8.005,1,0.032,0.183,0.000367,0.114,0.331,121.898,1FoSL9hWvA1qlRrbBpkueI,165173,4
